,timestamp,open,high,low,close,volume_base,volume,volume_quote,time,sma1,sma2,sma3,sma4,val,up,down,compra,venda,compra_price,venda_price,avgCandleSize,volumeThreshold11,bullElephantBar,bearElephantBar,compra_price_elephant,venda_price_elephant
55,1743175320000,129.64,129.64,129.54,129.55,641.3061,83091.374408,83091.374408,28-03-2025 15:22:00,129.66875,129.7045,129.86175,,129.59249999999997,False,True,False,False,,,,,False,False,,
56,1743175380000,129.55,129.58,129.43,129.43,613.2681,79438.895281,79438.895281,28-03-2025 15:23:00,129.63625,129.695,129.8425,,129.4975,False,True,False,False,,,,,False,False,,
57,1743175440000,129.43,129.43,129.3,129.3,802.6295,103817.573165,103817.573165,28-03-2025 15:24:00,129.58625,129.674,129.82125,,129.365,False,True,False,False,,,,,False,False,,
58,1743175500000,129.3,129.43,129.3,129.31,566.9745,73359.199935,73359.199935,28-03-2025 15:25:00,129.5275,129.656,129.799,,129.335,False,True,False,False,,,,,False,False,,
59,1743175560000,129.31,129.53,129.31,129.51,578.6957,74913.802872,74913.802872,28-03-2025 15:26:00,129.49875,129.6465,129.7885,,129.41500000000002,True,False,False,False,,,,,False,False,,
60,1743175620000,129.51,129.65,129.51,129.58,431.9166,55972.411081,55972.411081,28-03-2025 15:27:00,129.485,129.642,129.77775000000003,,129.5625,True,False,False,False,,,,,False,False,,
61,1743175680000,129.58,129.58,129.44,129.45,512.7432,66400.129286,66400.129286,28-03-2025 15:28:00,129.47125,129.634,129.76325,,129.5125,False,True,False,True,,129.45,,,False,False,,
62,1743175740000,129.45,129.62,129.44,129.52,627.537,81282.20353,81282.20353,28-03-2025 15:29:00,129.45625,129.631,129.75074999999998,,129.5075,False,True,False,False,,,,,False,False,,
63,1743175800000,129.52,129.55,129.37,129.46,643.4826,83316.554433,83316.554433,28-03-2025 15:30:00,129.445,129.6125,129.7375,,129.47500000000002,False,True,False,False,,,,,False,False,,
64,1743175860000,129.46,129.75,129.44,129.73,447.9502,58057.139813,58057.139813,28-03-2025 15:31:00,129.4825,129.603,129.73075,,129.595,True,False,True,False,129.73,,,,False,False,,
65,1743175920000,129.73,129.95,129.73,129.94,753.8055,97886.626797,97886.626797,28-03-2025 15:32:00,129.5625,129.6155,129.726,,129.83749999999998,True,False,False,False,,,,,False,False,,
66,1743175980000,129.94,130.08,129.89,130.08,842.6463,109494.022231,109494.022231,28-03-2025 15:33:00,129.65875,129.62349999999998,129.723,,129.9975,True,False,False,False,,,,,False,False,,
67,1743176040000,130.08,130.08,129.88,129.88,840.325,109209.362143,109209.362143,28-03-2025 15:34:00,129.705,129.627,129.71575,,129.98000000000002,False,True,False,False,,,,,False,False,,
68,1743176100000,129.88,130.03,129.86,130.03,531.6831,69087.680884,69087.680884,28-03-2025 15:35:00,129.76125000000002,129.644,129.71699999999998,,129.95,False,True,False,False,,,,,False,False,,
69,1743176160000,130.03,130.14,130.01,130.12,564.1518,73376.311902,73376.311902,28-03-2025 15:36:00,129.845,129.66500000000002,129.725,,130.075,True,False,True,False,130.12,,,,False,False,,
70,1743176220000,130.12,130.15,130.08,130.11,552.3781,71866.917819,71866.917819,28-03-2025 15:37:00,129.91875,129.6815,129.7315,,130.115,True,False,False,False,,,,,False,False,,
71,1743176280000,130.11,130.2,130.1,130.13,668.0659,86953.891785,86953.891785,28-03-2025 15:38:00,130.0025,129.70100000000002,129.734,,130.135,True,False,False,False,,,,,False,False,,
72,1743176340000,130.13,130.18,130.1,130.17,527.1912,68608.999144,68608.999144,28-03-2025 15:39:00,130.0575,129.725,129.73575,,130.14499999999998,True,False,False,False,,,,,False,False,,
73,1743176400000,130.17,130.27,130.11,130.18,717.7654,93447.719508,93447.719508,28-03-2025 15:40:00,130.0875,129.75600000000003,129.73999999999998,,130.1825,True,False,False,False,,,,,False,False,,
74,1743176460000,130.18,130.27,130.12,130.21,776.1492,101060.880527,101060.880527,28-03-2025 15:41:00,130.10375,129.7845,129.749,,130.19500000000002,True,False,False,False,,,,,False,False,,
75,1743176520000,130.21,130.21,130.0,130.01,442.1339,57507.813974,57507.813974,28-03-2025 15:42:00,130.12,129.8075,129.756,,130.10750000000002,False,True,False,False,,,,,False,False,,
76,1743176580000,130.01,130.01,129.86,129.96,445.4039,57872.309158,57872.309158,28-03-2025 15:43:00,130.11125,129.834,129.7645,,129.96,False,True,False,False,,,,,False,False,,
77,1743176640000,129.96,130.0,129.95,129.95,369.3553,48003.21853,48003.21853,28-03-2025 15:44:00,130.09,129.8665,129.77024999999998,,129.965,True,False,True,False,129.95,,,,False,False,,
78,1743176700000,129.95,130.12,129.88,130.12,1014.1161,131808.652435,131808.652435,28-03-2025 15:45:00,130.09125,129.907,129.7815,,130.01749999999998,True,False,False,False,,,,,False,False,,
79,1743176760000,130.12,130.17,130.1,130.16,678.7902,88338.514815,88338.514815,28-03-2025 15:46:00,130.095,129.9395,129.79299999999998,,130.1375,True,False,False,False,,,,,False,False,,
80,1743176820000,130.16,130.26,130.15,130.17,412.8891,53765.666583,53765.666583,28-03-2025 15:47:00,130.095,129.969,129.8055,,130.18499999999997,True,False,False,False,,,,,False,False,,
81,1743176880000,130.17,130.27,130.13,130.24,451.0997,58727.338816,58727.338816,28-03-2025 15:48:00,130.1025,130.0085,129.82125000000002,,130.2025,True,False,False,False,,,,,False,False,,
